docid,wordcount,f,ipm
"kassil.rannij_vosxod","83746",1, 0.01030
"prishvin.orlinoe_gnezdo","202",1, 0.01030
"uspenskiy.shkola_klounov","22860",1, 0.01030
"karyakin.vernyi_drug","17920",1, 0.01030
"gusev.neulovimaya_kollektsiya","34658",1, 0.01030
"egart.dva_tovarisha","42336",1, 0.01030
"nesterina.mafiya_protiv_indeytsev","35849",1, 0.01030
"mogilevskaia_sofia.pro_mashenku_i_goroshinku","1539",1, 0.01030
"titarenko.chetvero_s_bazarnoy_ploshchadi","45060",1, 0.01030
"gurevich.infra_drakona","8638",1, 0.01030
"scheglov.prazdnik_obzhoryi","35524",1, 0.01030
"dzyuba.tayna_propavshey_shkatulki","31330",1, 0.01030
"uspenskii_eduard.tetya_dyadi_fedora","16572",1, 0.01030
"georgievskaya.otrochestvo","98829",1, 0.01030
"efremov.zvezdnye_korabli","19506",1, 0.01030
"sventickaa.lyutra","787",1, 0.01030
"kostin.mitiny_otkrytiya","22362",1, 0.01030
"dubov.sirota","91015",1, 0.01030
"levitskij.andrejka","5062",1, 0.01030
"belyaev.podvodnye_zemledeltsy","41325",1, 0.01030
"gusev.zasada_pod_oblakami","30066",1, 0.01030
"dubov.ogni_na_reke","29254",1, 0.01030
"levitskiy.rabotnik_vasil","3075",1, 0.01030
"koval_yuriy.promah_grazhdanina_loshakova","16110",1, 0.01030
"ronshin.lovushka_dlya_buratino","41310",1, 0.01030
"glinka_mikhail.petrovskaya_naberezhnaya","60409",1, 0.01030
"dik.vnashem_klasse","32693",1, 0.01030
"bryancev.sledy_na_snegu","79862",1, 0.01030
"bremener.sochinenie","8173",1, 0.01030
"brajnin.strana_jelannaya","74001",1, 0.01030
"minaev.za_drovami","678",1, 0.01030
"bobrovnikov.povest_o_bednykh_marsianakh","28024",1, 0.01030
"aleksin.babochka","3622",1, 0.01030
"belahova.nezhny_gruz","5076",1, 0.01030
"bianki.gde-raki-zimuyut","1348",1, 0.01030
"golovacheva.fantom_yavlyaetsya_nochyu","14853",1, 0.01030
"snegov.sochinenie_na_svobodnuyu_temu","24477",1, 0.01030
"belahova.nad_ladogoy","5438",1, 0.01030
"saharnov.buhta_komandora","71567",1, 0.01030
"batrov.nash_drug_hose","14322",1, 0.01030
"krapivin_vladislav.ya_idu_vstrechat_brata","7800",1, 0.01030
"poletaev.ozorniki","71024",1, 0.01030
"vorobey.svoy_paren","22442",1, 0.01030
"banikin.vesnoy_v_polovodue","20505",1, 0.01030
"zarechnaya.orlenok","18551",1, 0.01030
"avdeenko.nad_tissoi","48365",1, 0.01030
"vilkin_iakov.neobyknovennye_prikluchenia_genadia_diogenova","23403",1, 0.01030
"kassil.dubinin","3025",1, 0.01030
"smirnov.dzhek_vosmerkin_amerikanec","48210",1, 0.01030
"belyh.sidorova_koza","1263",1, 0.01030
"dikov_grigorii.dikoviny","10335",1, 0.01030
"artuhova.svetlana","69247",1, 0.01030
"aleksin_anatoli.neobychainye_pohojdenia_sevy_kotlova","25661",1, 0.01030
"gurevich.lunnye_budni","6313",1, 0.01030
"ryabinin.pionerskyi_podarok","25265",1, 0.01030
"bulychev.devochka_s_kotoroj_nichego_ne_sluchitsja","6955",1, 0.01030
"lubenets.lyubov_v_protivogaze","26192",1, 0.01030
"aleksandrovskii.kogda_nam_semnadcat","49144",1, 0.01030
"shmelev.polochka","3686",1, 0.01030
"uspenskii_eduard.novye_porjadki_v_prostokvashino","6958",1, 0.01030
"zhdanov.morskaia_sol","16740",1, 0.01030
